4 0 0 0 	1 7 0 0 	0 0 0 0 	0 5 3 11
0 0 0 0 	0 4 0 0 	0 0 8 0 	0 0 0 0
0 0 0 0 	3 0 0 2 	0 0 0 0 	0 0 9 0
0 0 16 8 	0 0 0 0 	0 0 10 15 	0 0 0 0

0 0 0 0 	0 0 14 0 	0 0 0 0 	12 1 0 0
1 0 0 0 	0 0 0 0 	0 0 0 0 	0 3 7 0
0 0 0 0 	0 0 6 0 	0 0 14 8 	0 0 0 0
0 0 0 0 	0 0 16 10 	0 0 6 0 	0 0 0 0

0 0 0 10 	0 0 0 0 	11 0 0 0 	0 0 0 8
5 0 0 0 	7 9 0 0 	3 4 0 0 	0 0 0 0
0 0 15 6 	0 0 12 0	0 0 0 0 	14 0 0 10
0 0 0 0 	0 5 0 0 	7 1 0 0 	0 0 0 0

0 9 0 0 	0 0 0 0 	1 0 0 0 	0 0 0 0
0 0 0 0 	0 0 15 0 	0 0 0 0 	10 0 0 0
0 0 0 0 	8 0 10 14 	0 0 0 0 	15 0 0 0
3 1 0 0 	0 0 0 0 	9 7 0 0 	0 4 0 0




solved
1 0 2 0 	0 14 5 13 	0 10 0 0 	0 11 0 0
0 0 16 0 	0 0 0 7 	0 11 14 6 	0 0 13 10
15 11 0 0 	0 6 0 1 	2 0 0 0 	8 0 0 12
6 0 0 12 	0 0 0 8 	4 0 7 9 	0 0 0 3

0 0 0 9 	2 1 0 0 	12 14 0 0 	7 6 0 0
5 13 1 0 	0 0 16 6 	0 3 15 4 	0 8 0 11
10 2 0 0 	13 5 3 0 	0 0 0 7 	0 15 16 0
0 0 15 0 	14 0 4 11 	0 1 6 2 	10 0 0 0

16 10 0 0 	8 7 0 0 	0 12 0 0 	0 0 0 0
0 0 0 0 	12 0 14 0 	13 0 16 0 	0 0 5 0
0 7 6 11 	0 15 2 0 	0 0 8 0 	4 0 0 0
3 15 0 4 	11 13 0 0 	5 0 0 0 	9 1 0 0

0 1 0 2 	0 11 0 4 	0 0 10 0 	0 5 14 16
0 0 10 0 	1 12 0 0 	14 13 0 16 	0 7 6 0
0 0 14 0 	0 0 7 10 	9 0 0 15 	1 0 0 0
0 6 0 8 	0 0 13 0 	0 4 0 3 	2 0 0 15



solved
1 14 0 0 	0 0 16 0 	0 5 11 3 	4 0 12 8
0 0 0 15 	0 3 9 0 	8 0 1 12 	5 0 7 0
12 0 0 2 	0 11 13 0 	0 7 6 0 	0 0 0 0
0 11 0 8 	0 0 12 5 	0 0 16 10 	14 2 13 0

16 0 3 11 	0 5 0 0 	0 0 0 8 	0 0 10 13
2 6 0 0 	0 0 0 14 	11 0 0 0 	0 12 0 0
0 0 12 0 	0 4 0 0 	0 13 5 7 	6 0 0 0
9 10 8 0 	15 0 1 11 	0 6 4 0 	0 0 0 16

0 3 14 0 	8 1 15 0 	2 0 0 0 	0 16 4 10
0 0 13 0 	11 0 14 0 	0 12 8 16 	0 6 0 0
5 0 11 12 	7 0 0 0 	6 0 0 0 	1 0 2 0
0 15 16 0 	0 0 6 0 	9 0 0 0 	0 0 0 14

10 4 6 0 	0 13 0 0 	0 14 0 0 	0 0 3 0
8 0 0 0 	2 10 0 16 	0 0 12 11 	0 0 0 15
0 0 2 0 	0 0 7 0 	15 8 9 13 	10 11 1 0
0 0 0 7 	12 0 0 0 	5 3 0 0 	0 9 0 0



solved
0 8 0 2 	0 7 3 0 	0 0 0 0 	0 0 0 12
0 9 14 0 	0 0 12 0 	0 10 0 5 	0 0 4 0
0 0 0 0 	11 0 16 0 	0 0 0 14 	0 0 6 13
0 0 0 10 	0 2 0 0 	1 0 3 0 	16 0 0 15

16 0 0 0 	0 1 0 0 	15 7 0 0 	10 0 0 0
1 0 0 8 	0 13 0 0 	0 9 4 0 	15 6 0 0
4 0 0 0 	0 11 0 2 	0 5 0 0 	0 0 12 0
0 5 0 0 	6 0 0 0 	10 3 0 0 	0 0 2 14

15 7 4 0 	0 0 9 12 	0 0 0 0 	0 0 0 0
0 0 13 0 	0 0 4 0 	0 0 2 0 	0 0 14 3
11 0 0 16 	0 0 0 0 	0 0 0 12 	0 10 5 0
0 0 0 0 	5 0 0 0 	0 0 8 6 	1 11 0 0

0 10 0 0 	14 4 0 0 	0 0 0 0 	7 0 0 0
0 0 0 12 	0 0 0 1 	0 0 0 0 	9 8 0 16
0 0 6 3 	10 0 0 0 	2 15 13 11 	0 5 0 0
0 14 7 0 	0 0 0 8 	0 0 6 16 	0 2 0 0



solved
13 9 2 0 	0 0 0 0 	16 0 0 0 	4 3 0 0
4 12 15 0 	0 0 0 0 	9 13 0 2 	0 6 14 11
0 14 0 1 	0 0 0 0 	15 0 8 11 	12 0 0 10
16 5 6 0 	0 0 0 0 	10 3 12 0 	0 0 0 1

0 7 16 5 	10 8 0 0 	0 0 6 1 	0 0 0 0
2 0 0 0 	12 0 0 0 	0 11 7 0 	0 0 0 0
0 0 10 14 	0 9 6 4 	0 0 16 0 	0 0 0 0
0 15 9 0 	5 0 7 0 	4 0 0 0 	0 0 0 0

0 0 0 0 	0 2 9 0 	0 0 0 10 	0 12 0 0
0 0 0 0 	0 0 0 0 	6 4 5 13 	0 1 0 0
0 0 0 0 	13 0 0 0 	0 1 0 12 	0 11 7 15
0 0 0 0 	0 14 0 12 	2 16 0 0 	0 8 10 9

11 0 0 9 	0 16 5 2 	0 0 0 0 	0 14 15 6
0 2 5 6 	0 0 15 0 	0 0 0 0 	13 0 11 0
14 1 3 0 	6 0 13 0 	0 0 0 0 	0 0 0 7
10 0 0 0 	8 11 12 3 	0 0 0 0 	9 5 4 0



solved
0 0 0 2 	6 13 0 0 	0 8 12 0 	0 0 0 0
4 10 13 9 	0 5 3 0 	0 0 0 0 	0 0 8 11
0 8 0 0 	11 0 0 1 	0 2 0 0 	15 9 13 10
0 0 0 3 	9 0 0 2 	0 0 0 10 	0 0 4 0

0 0 0 0 	0 1 0 0 	0 13 0 2 	0 16 3 7
12 13 10 14 	0 0 5 0 	9 0 4 0 	8 0 1 6
0 0 0 0 	3 11 0 0 	12 0 0 6 	14 0 0 0
3 0 0 0 	0 0 7 0 	5 10 0 0 	0 15 0 12

14 0 16 0 	0 0 2 7 	0 3 0 0 	0 0 0 8
0 0 0 4 	5 0 0 9 	0 0 2 14 	0 0 0 0
2 1 0 10 	0 12 0 8 	0 9 0 0 	3 4 5 16
8 12 15 0 	4 0 1 0 	0 0 16 0 	0 0 0 0

0 16 0 0 	1 0 0 0 	2 0 0 13 	9 0 0 0
9 14 2 12 	0 0 13 0 	11 0 0 16 	0 0 15 0
10 11 0 0 	0 0 0 0 	0 5 9 0 	7 12 16 4
0 0 0 0 	0 9 8 0 	0 0 6 15 	5 0 0 0



solved
0 0 0 0 	0 0 0 0 	2 5 0 12 	0 4 3 7
0 8 0 0 	7 0 0 0 	3 16 0 0 	6 0 0 0
3 0 0 0 	14 0 6 0 	0 0 15 0 	0 5 0 9
0 7 11 5 	4 13 0 0 	0 0 1 14 	0 0 10 0

2 13 1 8 	9 0 0 0 	14 0 6 0 	0 0 0 0
10 3 4 0 	5 0 15 0 	0 0 16 0 	0 11 6 2
0 0 14 15 	1 6 0 0 	7 0 2 3 	0 12 8 10
0 0 16 6 	2 0 0 0 	11 15 0 0 	0 0 0 14

13 0 0 0 	0 0 14 15 	0 0 0 10 	4 8 0 0
15 6 8 0 	10 5 0 16 	0 0 12 1 	2 9 0 0
7 11 5 0 	0 1 0 0 	0 8 0 2 	0 10 12 3
0 0 0 0 	0 9 0 8 	0 0 0 11 	1 13 15 5

0 16 0 0 	12 3 0 0 	0 0 4 6 	10 2 11 0
5 0 6 0 	0 14 0 0 	0 1 0 7 	0 0 0 4
0 0 0 1 	0 0 11 9 	0 0 0 16 	0 0 13 0
8 2 10 0 	16 0 5 7 	0 0 0 0 	0 0 0 0
